Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon TeamTipoff Winner,Tipoff Loser,Tipoff Winner Scores
200411020DAL,https://www.basketball-reference.com/boxscores/pbp/200411020DAL.html,Dallas Mavericks,Sacramento Kings,DAL,SAC,E. Dampier,B. Miller,J. Howard,DAL,SAC,J. Howard,/players/h/howarjo01.html,DAL,SAC,E. Dampier,B. Miller,1
200411020LAL,https://www.basketball-reference.com/boxscores/pbp/200411020LAL.html,Los Angeles Lakers,Denver Nuggets,LAL,DEN,C. Mihm,M. Camby,C. Mihm,DEN,LAL,A. Miller,/players/m/millean02.html,LAL,DEN,M. Camby,C. Mihm,0
200411030CLE,https://www.basketball-reference.com/boxscores/pbp/200411030CLE.html,Cleveland Cavaliers,Indiana Pacers,CLE,IND,Z. Ilgauskas,A. Croshere,J. Tinsley,CLE,IND,J. McInnis,/players/m/mcinnje01.html,IND,CLE,Z. Ilgauskas,A. Croshere,0
200411030ORL,https://www.basketball-reference.com/boxscores/pbp/200411030ORL.html,Orlando Magic,Milwaukee Bucks,ORL,MIL,K. Cato,D. Gadzuric,D. Gadzuric,ORL,MIL,G. Hill,/players/h/hillgr01.html,MIL,ORL,K. Cato,D. Gadzuric,0
200411030TOR,https://www.basketball-reference.com/boxscores/pbp/200411030TOR.html,Toronto Raptors,Houston Rockets,TOR,HOU,L. Woods,Y. Ming,V. Carter,HOU,TOR,M. Taylor,/players/t/tayloma01.html,TOR,HOU,Y. Ming,L. Woods,0
200411030BOS,https://www.basketball-reference.com/boxscores/pbp/200411030BOS.html,Boston Celtics,Philadelphia 76ers,BOS,PHI,M. Blount,M. Jackson,K. Thomas,PHI,BOS,A. McKie,/players/m/mckieaa01.html,PHI,BOS,M. Jackson,M. Blount,1
200411030MEM,https://www.basketball-reference.com/boxscores/pbp/200411030MEM.html,Memphis Grizzlies,Washington Wizards,MEM,WAS,P. Gasol,M. Ruffin,J. Hayes,WAS,MEM,L. Profit,/players/p/profila01.html,WAS,MEM,M. Ruffin,P. Gasol,1
200411030MIN,https://www.basketball-reference.com/boxscores/pbp/200411030MIN.html,Minnesota Timberwolves,New York Knicks,MIN,NYK,K. Garnett,N. Mohammed,T. Thomas,NYK,MIN,S. Marbury,/players/m/marbust01.html,NYK,MIN,N. Mohammed,K. Garnett,1
200411030NJN,https://www.basketball-reference.com/boxscores/pbp/200411030NJN.html,New Jersey Nets,Miami Heat,NJN,MIA,J. Collins,S. O'Neal,R. Butler,NJN,MIA,E. Williams,/players/w/willier01.html,MIA,NJN,J. Collins,S. O'Neal,0
200411030NOH,https://www.basketball-reference.com/boxscores/pbp/200411030NOH.html,New Orleans Hornets,Dallas Mavericks,NOH,DAL,J. Magloire,E. Dampier,M. Finley,DAL,NOH,M. Finley,/players/f/finlemi01.html,DAL,NOH,E. Dampier,J. Magloire,1
200411030SAS,https://www.basketball-reference.com/boxscores/pbp/200411030SAS.html,San Antonio Spurs,Sacramento Kings,SAS,SAC,R. Nesterović,B. Miller,P. Stojaković,SAS,SAC,M. Ginóbili,/players/g/ginobma01.html,SAC,SAS,R. Nesterović,B. Miller,0
200411030PHO,https://www.basketball-reference.com/boxscores/pbp/200411030PHO.html,Phoenix Suns,Atlanta Hawks,PHO,ATL,A. Stoudemire,J. Collier,J. Johnson,PHO,ATL,S. Marion,/players/m/mariosh01.html,PHO,ATL,A. Stoudemire,J. Collier,1
200411030GSW,https://www.basketball-reference.com/boxscores/pbp/200411030GSW.html,Golden State Warriors,Portland Trail Blazers,GSW,POR,A. Foyle,T. Ratliff,D. Anderson,POR,GSW,D. Stoudamire,/players/s/stoudda01.html,POR,GSW,T. Ratliff,A. Foyle,1
200411030LAC,https://www.basketball-reference.com/boxscores/pbp/200411030LAC.html,Los Angeles Clippers,Seattle SuperSonics,LAC,SEA,C. Wilcox,J. James,E. Brand,LAC,SEA,M. Jarić,/players/j/jaricma01.html,LAC,SEA,C. Wilcox,J. James,1
200411030UTA,https://www.basketball-reference.com/boxscores/pbp/200411030UTA.html,Utah Jazz,Los Angeles Lakers,UTA,LAL,J. Collins,C. Mihm,A. Kirilenko,LAL,UTA,C. Atkins,/players/a/atkinch01.html,UTA,LAL,C. Mihm,J. Collins,0
200411040CHA,https://www.basketball-reference.com/boxscores/pbp/200411040CHA.html,Charlotte Bobcats,Washington Wizards,CHA,WAS,P. Brezec,M. Ruffin,P. Brezec,WAS,CHA,G. Arenas,/players/a/arenagi01.html,CHA,WAS,M. Ruffin,P. Brezec,0
200411040MIA,https://www.basketball-reference.com/boxscores/pbp/200411040MIA.html,Miami Heat,Cleveland Cavaliers,MIA,CLE,S. O'Neal,Z. Ilgauskas,S. O'Neal,CLE,MIA,J. McInnis,/players/m/mcinnje01.html,MIA,CLE,Z. Ilgauskas,S. O'Neal,0
200411040DEN,https://www.basketball-reference.com/boxscores/pbp/200411040DEN.html,Denver Nuggets,Minnesota Timberwolves,DEN,MIN,M. Camby,K. Garnett,M. Camby,DEN,MIN,D. Johnson,/players/j/johnsde03.html,DEN,MIN,M. Camby,K. Garnett,1
200411050PHI,https://www.basketball-reference.com/boxscores/pbp/200411050PHI.html,Philadelphia 76ers,Phoenix Suns,PHI,PHO,M. Jackson,A. Stoudemire,A. Iguodala,PHO,PHI,J. Vroman,/players/v/vromaja01.html,PHI,PHO,A. Stoudemire,M. Jackson,0
200411050TOR,https://www.basketball-reference.com/boxscores/pbp/200411050TOR.html,Toronto Raptors,Detroit Pistons,TOR,DET,C. Bosh,B. Wallace,R. Hamilton,DET,TOR,C. Billups,/players/b/billuch01.html,DET,TOR,B. Wallace,C. Bosh,1
