Game Code,Full Hyperlink,Home Team,Away Team,Home Team Short,Away Team Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Tipoff Winner,Tipoff Loser,Tipoff Winner Scores
201910220LAC,https://www.basketball-reference.com/boxscores/pbp/201910220LAC.html,Los Angeles Clippers,Los Angeles Lakers,LAC,LAL,I. Zubac,J. McGee,L. James,LAL,LAC,L. James,/players/j/jamesle01.html,LAL,J. McGee,I. Zubac,1
201910230CHO,https://www.basketball-reference.com/boxscores/pbp/201910230CHO.html,Charlotte Hornets,Chicago Bulls,CHO,CHI,C. Zeller,W. Carter,W. Carter,CHI,CHO,T. Satoranský,/players/s/satorto01.html,CHI,W. Carter,C. Zeller,1
201910230IND,https://www.basketball-reference.com/boxscores/pbp/201910230IND.html,Indiana Pacers,Detroit Pistons,IND,DET,M. Turner,A. Drummond,R. Jackson,DET,IND,M. Morris,/players/m/morrima02.html,DET,A. Drummond,M. Turner,1
201910230ORL,https://www.basketball-reference.com/boxscores/pbp/201910230ORL.html,Orlando Magic,Cleveland Cavaliers,ORL,CLE,N. Vučević,T. Thompson,T. Thompson,ORL,CLE,J. Isaac,/players/i/isaacjo01.html,CLE,N. Vučević,T. Thompson,0
201910230BRK,https://www.basketball-reference.com/boxscores/pbp/201910230BRK.html,Brooklyn Nets,Minnesota Timberwolves,BRK,MIN,J. Allen,K. Towns,A. Wiggins,MIN,BRK,J. Teague,/players/t/teaguje01.html,MIN,K. Towns,J. Allen,1
201910230MIA,https://www.basketball-reference.com/boxscores/pbp/201910230MIA.html,Miami Heat,Memphis Grizzlies,MIA,MEM,B. Adebayo,J. Jackson,T. Herro,MEM,MIA,J. Valančiūnas,/players/v/valanjo01.html,MIA,J. Jackson,B. Adebayo,0
201910230PHI,https://www.basketball-reference.com/boxscores/pbp/201910230PHI.html,Philadelphia 76ers,Boston Celtics,PHI,BOS,J. Embiid,E. Kanter,J. Embiid,BOS,PHI,E. Kanter,/players/k/kanteen01.html,PHI,E. Kanter,J. Embiid,0
201910230DAL,https://www.basketball-reference.com/boxscores/pbp/201910230DAL.html,Dallas Mavericks,Washington Wizards,DAL,WAS,K. Porziņģis,T. Bryant,L. Dončić,DAL,WAS,D. Wright,/players/w/wrighde01.html,DAL,K. Porziņģis,T. Bryant,1
201910230SAS,https://www.basketball-reference.com/boxscores/pbp/201910230SAS.html,San Antonio Spurs,New York Knicks,SAS,NYK,L. Aldridge,B. Portis,M. Morris,NYK,SAS,J. Randle,/players/r/randlju01.html,NYK,B. Portis,L. Aldridge,1
201910230UTA,https://www.basketball-reference.com/boxscores/pbp/201910230UTA.html,Utah Jazz,Oklahoma City Thunder,UTA,OKC,R. Gobert,S. Adams,R. O'Neale,OKC,UTA,S. Gilgeous-Alexander,/players/g/gilgesh01.html,UTA,S. Adams,R. Gobert,0
201910230PHO,https://www.basketball-reference.com/boxscores/pbp/201910230PHO.html,Phoenix Suns,Sacramento Kings,PHO,SAC,D. Ayton,M. Bagley,H. Barnes,PHO,SAC,R. Rubio,/players/r/rubiori01.html,SAC,D. Ayton,M. Bagley,0
201910230POR,https://www.basketball-reference.com/boxscores/pbp/201910230POR.html,Portland Trail Blazers,Denver Nuggets,POR,DEN,H. Whiteside,N. Jokić,H. Whiteside,POR,DEN,D. Lillard,/players/l/lillada01.html,POR,H. Whiteside,N. Jokić,1
201910240DET,https://www.basketball-reference.com/boxscores/pbp/201910240DET.html,Detroit Pistons,Atlanta Hawks,DET,ATL,A. Drummond,A. Len,A. Len,DET,ATL,B. Brown,/players/b/brownbr01.html,ATL,A. Drummond,A. Len,0
201910240HOU,https://www.basketball-reference.com/boxscores/pbp/201910240HOU.html,Houston Rockets,Milwaukee Bucks,HOU,MIL,C. Capela,B. Lopez,P. Tucker,HOU,MIL,P. Tucker,/players/t/tuckepj01.html,HOU,C. Capela,B. Lopez,1
