Game Code,Home Short,Away Short,Home Tipper,Away Tipper,Tip Winning Team,Tip Losing Team,First Scoring Team,Scored Upon Team,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,fanduelHomeOdds,draftkingsHomeOdds,mgmHomeOdds,bestHomeOdds,fanduelAwayOdds,draftkingsAwayOdds,mgmAwayOdds,bestAwayOdds
202012220LAL,LAL,LAC,A. Davis,S. Ibaka,LAL,LAC,LAC,LAL,0.0,25.28243197595979,22.98662622085961,0.8439388393890828,0.8193603322637827,,,,,,,,
202012230CLE,CLE,CHO,A. Drummond,C. Zeller,CHO,CLE,CLE,CHO,0.0,26.70952464954801,19.7456958228679,0.8527977201390455,0.8611705781775871,,,,,,,,
202012230IND,IND,NYK,M. Turner,M. Robinson,IND,NYK,IND,NYK,1.0,19.97317628471887,23.59053548696805,0.8427176522126817,1.5984173249697624,,,,,,,,
202012230ORL,ORL,MIA,Nikola Vucevic,Bam Adebayo,MIA,ORL,MIA,ORL,True,19.513061507032432,23.099407797960342,0.8478570724368675,0.8835208014202591,,,,,,,,
202012230PHI,PHI,WAS,J. Embiid,T. Bryant,PHI,WAS,WAS,PHI,0.0,24.42281359837409,21.46612250362855,0.8330059852820861,1.0032539354381145,,,,,,,,
202012230TOR,TOR,NOP,A. Baynes,S. Adams,NOP,TOR,NOP,TOR,1.0,23.374033939696247,26.474234987565733,0.955613147975478,0.8608378698591964,,,,,,,,
202012230BOS,BOS,MIL,T. Thompson,B. Lopez,MIL,BOS,BOS,MIL,0.0,20.162063321423016,26.46370314611981,0.8396690019546751,0.8534120836968829,,,,,,,,
202012230CHI,CHI,ATL,W. Carter,J. Collins,CHI,ATL,CHI,ATL,1.0,22.69129941582463,18.07787928828485,0.9935628466283918,1.9843627573159004,,,,,,,,
202012230MEM,MEM,SAS,J. Valančiūnas,L. Aldridge,MEM,SAS,MEM,SAS,1.0,22.868934132210985,21.973010363365127,0.825334091877122,0.834383893564162,,,,,,,,
202012230MIN,MIN,DET,K. Towns,M. Plumlee,MIN,DET,DET,MIN,0.0,24.590919058188422,22.849023104742567,0.8278550728540393,0.830342527503256,,,,,,,,
