,Unnamed: 0,Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores
0,0,200511010NOK,https://www.basketball-reference.com/boxscores/pbp/200511010NOK.html,New Orleans/Oklahoma City Hornets,Sacramento Kings,NOK,SAC,P. Brown,B. Miller,S. Abdur-Rahim,SAC,NOK,P. Stojaković,/players/s/stojape01.html,SAC,NOK,B. Miller,/players/m/millebr01.html,P. Brown,/players/b/brownpj01.html,1.0
1,1,200511010SAS,https://www.basketball-reference.com/boxscores/pbp/200511010SAS.html,San Antonio Spurs,Denver Nuggets,SAS,DEN,R. Nesterović,M. Camby,K. Martin,DEN,SAS,V. Lenard,/players/l/lenarvo01.html,DEN,SAS,M. Camby,/players/c/cambyma01.html,R. Nesterović,/players/n/nestera01.html,1.0
2,2,200511010PHO,https://www.basketball-reference.com/boxscores/pbp/200511010PHO.html,Phoenix Suns,Dallas Mavericks,PHO,DAL,K. Thomas,E. Dampier,K. Thomas,DAL,PHO,J. Terry,/players/t/terryja01.html,PHO,DAL,E. Dampier,/players/d/dampier01.html,K. Thomas,/players/t/thomaku01.html,0.0
3,3,200511020CLE,https://www.basketball-reference.com/boxscores/pbp/200511020CLE.html,Cleveland Cavaliers,New Orleans/Oklahoma City Hornets,CLE,NOK,Z. Ilgauskas,P. Brown,D. West,NOK,CLE,B. Nachbar,/players/n/nachbbo01.html,NOK,CLE,P. Brown,/players/b/brownpj01.html,Z. Ilgauskas,/players/i/ilgauzy01.html,1.0
4,4,200511020ORL,https://www.basketball-reference.com/boxscores/pbp/200511020ORL.html,Orlando Magic,Indiana Pacers,ORL,IND,D. Howard,J. O'Neal,J. O'Neal,IND,ORL,J. Tinsley,/players/t/tinslja01.html,IND,ORL,J. O'Neal,/players/o/onealje01.html,D. Howard,/players/h/howardw01.html,1.0
5,5,200511020TOR,https://www.basketball-reference.com/boxscores/pbp/200511020TOR.html,Toronto Raptors,Washington Wizards,TOR,WAS,C. Bosh,J. Jeffries,G. Arenas,WAS,TOR,G. Arenas,/players/a/arenagi01.html,WAS,TOR,J. Jeffries,/players/j/jeffrja01.html,C. Bosh,/players/b/boshch01.html,1.0
6,6,200511020BOS,https://www.basketball-reference.com/boxscores/pbp/200511020BOS.html,Boston Celtics,New York Knicks,BOS,NYK,M. Blount,E. Curry,E. Curry,NYK,BOS,S. Marbury,/players/m/marbust01.html,NYK,BOS,E. Curry,/players/c/curryed01.html,M. Blount,/players/b/blounma01.html,1.0
7,7,200511020NJN,https://www.basketball-reference.com/boxscores/pbp/200511020NJN.html,New Jersey Nets,Milwaukee Bucks,NJN,MIL,J. Collins,A. Bogut,J. Collins,MIL,NJN,B. Simmons,/players/s/simmobo01.html,NJN,MIL,A. Bogut,/players/b/bogutan01.html,J. Collins,/players/c/collija04.html,0.0
8,8,200511020DET,https://www.basketball-reference.com/boxscores/pbp/200511020DET.html,Detroit Pistons,Philadelphia 76ers,DET,PHI,B. Wallace,S. Hunter,R. Hamilton,DET,PHI,C. Billups,/players/b/billuch01.html,DET,PHI,B. Wallace,/players/w/wallabe01.html,S. Hunter,/players/h/huntest01.html,1.0
9,9,200511020MEM,https://www.basketball-reference.com/boxscores/pbp/200511020MEM.html,Memphis Grizzlies,Miami Heat,MEM,MIA,P. Gasol,S. O'Neal,J. Williams,MIA,MEM,J. Williams,/players/w/willija02.html,MIA,MEM,S. O'Neal,/players/o/onealsh01.html,P. Gasol,/players/g/gasolpa01.html,1.0
10,10,200511020MIN,https://www.basketball-reference.com/boxscores/pbp/200511020MIN.html,Minnesota Timberwolves,Portland Trail Blazers,MIN,POR,K. Garnett,J. Przybilla,M. Jarić,MIN,POR,M. Jarić,/players/j/jaricma01.html,MIN,POR,K. Garnett,/players/g/garneke01.html,J. Przybilla,/players/p/przybjo01.html,1.0
11,11,200511020CHI,https://www.basketball-reference.com/boxscores/pbp/200511020CHI.html,Chicago Bulls,Charlotte Bobcats,CHI,CHA,T. Chandler,E. Okafor,G. Wallace,CHI,CHA,C. Duhon,/players/d/duhonch01.html,CHA,CHI,T. Chandler,/players/c/chandty01.html,E. Okafor,/players/o/okafoem01.html,0.0
12,12,200511020HOU,https://www.basketball-reference.com/boxscores/pbp/200511020HOU.html,Houston Rockets,Sacramento Kings,HOU,SAC,Y. Ming,B. Miller,Y. Ming,HOU,SAC,J. Howard,/players/h/howarju01.html,HOU,SAC,Y. Ming,/players/m/mingya01.html,B. Miller,/players/m/millebr01.html,1.0
13,13,200511020UTA,https://www.basketball-reference.com/boxscores/pbp/200511020UTA.html,Utah Jazz,Dallas Mavericks,UTA,DAL,G. Ostertag,E. Dampier,J. Howard,DAL,UTA,D. Nowitzki,/players/n/nowitdi01.html,DAL,UTA,E. Dampier,/players/d/dampier01.html,G. Ostertag,/players/o/ostergr01.html,1.0
14,14,200511020SEA,https://www.basketball-reference.com/boxscores/pbp/200511020SEA.html,Seattle SuperSonics,Los Angeles Clippers,SEA,LAC,J. Petro,C. Kaman,J. Petro,SEA,LAC,L. Ridnour,/players/r/ridnolu01.html,SEA,LAC,J. Petro,/players/p/petrojo01.html,C. Kaman,/players/k/kamanch01.html,1.0
15,15,200511020DEN,https://www.basketball-reference.com/boxscores/pbp/200511020DEN.html,Denver Nuggets,Los Angeles Lakers,DEN,LAL,M. Camby,C. Mihm,V. Lenard,DEN,LAL,A. Miller,/players/m/millean02.html,DEN,LAL,M. Camby,/players/c/cambyma01.html,C. Mihm,/players/m/mihmch01.html,1.0
