Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores
200810280CHI,https://www.basketball-reference.com/boxscores/pbp/200810280CHI.html,Chicago Bulls,Milwaukee Bucks,CHI,MIL,,,,,,,,,,,,
200810280LAL,https://www.basketball-reference.com/boxscores/pbp/200810280LAL.html,Los Angeles Lakers,Portland Trail Blazers,LAL,POR,A. Bynum,G. Oden,P. Gasol,LAL,POR,D. Fisher,/players/f/fishede01.html,LAL,POR,A. Bynum,/players/b/bynuman01.html,G. Oden,/players/o/odengr01.html,1
200810290PHI,https://www.basketball-reference.com/boxscores/pbp/200810290PHI.html,Philadelphia 76ers,Toronto Raptors,PHI,TOR,S. Dalembert,C. Bosh,T. Young,PHI,TOR,T. Young,/players/y/youngth01.html,PHI,TOR,S. Dalembert,/players/d/dalemsa01.html,C. Bosh,/players/b/boshch01.html,1
200810290WAS,https://www.basketball-reference.com/boxscores/pbp/200810290WAS.html,Washington Wizards,New Jersey Nets,WAS,NJN,E. Thomas,J. Boone,Y. Jianlian,WAS,NJN,C. Butler,/players/b/butleca01.html,NJN,WAS,E. Thomas,/players/t/thomaet01.html,J. Boone,/players/b/boonejo01.html,0
200810290ORL,https://www.basketball-reference.com/boxscores/pbp/200810290ORL.html,Orlando Magic,Atlanta Hawks,ORL,ATL,D. Howard,A. Horford,J. Johnson,ORL,ATL,M. Piétrus,/players/p/pietrmi01.html,ATL,ORL,D. Howard,/players/h/howardw01.html,A. Horford,/players/h/horfoal01.html,0
200810290NYK,https://www.basketball-reference.com/boxscores/pbp/200810290NYK.html,New York Knicks,Miami Heat,NYK,MIA,D. Lee,U. Haslem,M. Beasley,MIA,NYK,M. Chalmers,/players/c/chalmma01.html,MIA,NYK,U. Haslem,/players/h/hasleud01.html,D. Lee,/players/l/leeda02.html,1
200810290SAS,https://www.basketball-reference.com/boxscores/pbp/200810290SAS.html,San Antonio Spurs,Phoenix Suns,SAS,PHO,T. Duncan,S. O'Neal,T. Duncan,PHO,SAS,M. Barnes,/players/b/barnema02.html,SAS,PHO,S. O'Neal,/players/o/onealsh01.html,T. Duncan,/players/d/duncati01.html,0
200810290OKC,https://www.basketball-reference.com/boxscores/pbp/200810290OKC.html,Oklahoma City Thunder,Milwaukee Bucks,OKC,MIL,J. Petro,A. Bogut,A. Bogut,OKC,MIL,N. Collison,/players/c/collini01.html,MIL,OKC,J. Petro,/players/p/petrojo01.html,A. Bogut,/players/b/bogutan01.html,0
200810290MIN,https://www.basketball-reference.com/boxscores/pbp/200810290MIN.html,Minnesota Timberwolves,Sacramento Kings,MIN,SAC,A. Jefferson,S. Hawes,S. Hawes,SAC,MIN,B. Udrih,/players/u/udrihbe01.html,SAC,MIN,S. Hawes,/players/h/hawessp01.html,A. Jefferson,/players/j/jeffeal01.html,1
200810290DET,https://www.basketball-reference.com/boxscores/pbp/200810290DET.html,Detroit Pistons,Indiana Pacers,DET,IND,A. Johnson,R. Nesterović,C. Billups,DET,IND,C. Billups,/players/b/billuch01.html,DET,IND,A. Johnson,/players/j/johnsam01.html,R. Nesterović,/players/n/nestera01.html,1
200810290HOU,https://www.basketball-reference.com/boxscores/pbp/200810290HOU.html,Houston Rockets,Memphis Grizzlies,HOU,MEM,Y. Ming,D. Miličić,M. World Peace,HOU,MEM,L. Scola,/players/s/scolalu01.html,HOU,MEM,Y. Ming,/players/m/mingya01.html,D. Miličić,/players/m/milicda01.html,1
200810290UTA,https://www.basketball-reference.com/boxscores/pbp/200810290UTA.html,Utah Jazz,Denver Nuggets,UTA,DEN,M. Okur,N. Hilário,C. Boozer,UTA,DEN,R. Price,/players/p/pricero01.html,UTA,DEN,M. Okur,/players/o/okurme01.html,N. Hilário,/players/h/hilarne01.html,1
200810290LAC,https://www.basketball-reference.com/boxscores/pbp/200810290LAC.html,Los Angeles Clippers,Los Angeles Lakers,LAC,LAL,C. Kaman,A. Bynum,P. Gasol,LAL,LAC,D. Fisher,/players/f/fishede01.html,LAL,LAC,A. Bynum,/players/b/bynuman01.html,C. Kaman,/players/k/kamanch01.html,1
