Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,homeStarter1,homeStarter2,homeStarter3,homeStarter4,homeStarter5,awayStarter1,awayStarter2,awayStarter3,awayStarter4,awayStarter5
0,22020,1610612737,ATL,Atlanta Hawks,22000522,2021-02-28,ATL @ MIA,L,240,99,36,87,0.414,8,35,0.22899999999999998,19,22,0.8640000000000001,16,33,49,22,12.0,6,16,20,-10.0,gorandragic,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo,clintcapela,traeyoung,tonysnell,kevinhuerter,johncollins
1,22020,1610612737,ATL,Atlanta Hawks,22000510,2021-02-26,ATL @ OKC,L,238,109,43,97,0.44299999999999995,12,40,0.3,11,17,0.647,19,35,54,21,6.0,5,10,13,-9.0,luguentzdort,shaigilgeousalexander,theomaledon,dariusbazley,isaiahroby,clintcapela,traeyoung,tonysnell,kevinhuerter,johncollins
2,22020,1610612737,ATL,Atlanta Hawks,22000490,2021-02-24,ATL vs. BOS,W,241,127,45,85,0.529,23,42,0.5479999999999999,14,17,0.8240000000000001,12,33,45,27,4.0,5,17,23,15.0,clintcapela,traeyoung,tonysnell,kevinhuerter,johncollins,danieltheis,jaysontatum,jaylenbrown,tristanthompson,jeffteague
3,22020,1610612737,ATL,Atlanta Hawks,22000480,2021-02-23,ATL @ CLE,L,239,111,40,89,0.449,14,31,0.452,17,23,0.7390000000000001,13,28,41,22,10.0,4,11,19,-1.0,deanwade,collinsexton,dariusgarland,jarrettallen,isaacokoro,clintcapela,traeyoung,tonysnell,kevinhuerter,johncollins
4,22020,1610612737,ATL,Atlanta Hawks,22000470,2021-02-21,ATL vs. DEN,W,242,123,42,81,0.519,12,34,0.353,27,33,0.818,10,34,44,29,6.0,4,11,20,8.0,camreddish,clintcapela,traeyoung,kevinhuerter,johncollins,jamalmurray,michaelporterjr,zekennaji,willbarton,nikolajokic
5,22020,1610612737,ATL,Atlanta Hawks,22000451,2021-02-19,ATL @ BOS,L,240,109,38,90,0.42200000000000004,10,30,0.33299999999999996,23,25,0.92,13,28,41,21,14.0,6,13,14,-12.0,danieltheis,jaysontatum,kembawalker,jaylenbrown,tristanthompson,johncollins,clintcapela,,,
6,22020,1610612737,ATL,Atlanta Hawks,22000438,2021-02-17,ATL @ BOS,W,240,122,44,77,0.5710000000000001,8,24,0.33299999999999996,26,31,0.8390000000000001,8,29,37,19,8.0,2,14,18,8.0,jaysontatum,semiojeleye,jaylenbrown,tristanthompson,javontegreen,camreddish,clintcapela,traeyoung,kevinhuerter,johncollins
7,22020,1610612737,ATL,Atlanta Hawks,22000422,2021-02-15,ATL @ NYK,L,239,112,36,85,0.424,11,33,0.33299999999999996,29,32,0.9059999999999999,11,31,42,17,5.0,6,11,19,-11.0,elfridpayton,nerlensnoel,reggiebullock,juliusrandle,rjbarrett,camreddish,clintcapela,traeyoung,kevinhuerter,johncollins
8,22020,1610612737,ATL,Atlanta Hawks,22000407,2021-02-13,ATL vs. IND,L,240,113,43,90,0.478,9,31,0.29,18,23,0.7829999999999999,7,31,38,35,5.0,4,11,24,-12.0,camreddish,clintcapela,traeyoung,kevinhuerter,johncollins,justinholiday,domantassabonis,dougmcdermott,malcolmbrogdon,mylesturner
9,22020,1610612737,ATL,Atlanta Hawks,22000397,2021-02-12,ATL vs. SAS,L,240,114,39,90,0.433,11,32,0.344,25,33,0.758,10,31,41,22,10.0,4,12,17,-11.0,camreddish,clintcapela,traeyoung,kevinhuerter,johncollins,dejountemurray,derrickwhite,jakobpoeltl,demarderozan,keldonjohnson
10,22020,1610612737,ATL,Atlanta Hawks,22000384,2021-02-10,ATL @ DAL,L,241,117,40,88,0.455,14,39,0.359,23,28,0.821,9,33,42,27,7.0,4,9,20,-1.0,joshrichardson,kristapsporzingis,lukadoncic,maxikleber,dorianfinneysmith,camreddish,clintcapela,traeyoung,kevinhuerter,johncollins
11,22020,1610612737,ATL,Atlanta Hawks,22000356,2021-02-06,ATL vs. TOR,W,241,132,42,74,0.568,19,36,0.528,29,33,0.879,4,39,43,31,1.0,10,18,25,11.0,camreddish,clintcapela,traeyoung,kevinhuerter,johncollins,aronbaynes,pascalsiakam,kylelowry,normanpowell,fredvanvleet
12,22020,1610612737,ATL,Atlanta Hawks,22000338,2021-02-04,ATL vs. UTA,L,242,91,32,98,0.327,9,31,0.29,18,19,0.9470000000000001,18,31,49,19,8.0,1,11,15,-21.0,rajonrondo,camreddish,clintcapela,kevinhuerter,johncollins,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley
