Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,homeStarter1,homeStarter2,homeStarter3,homeStarter4,homeStarter5,awayStarter1,awayStarter2,awayStarter3,awayStarter4,awayStarter5
0,22020,1610612738,BOS,Boston Celtics,22000524,2021-02-28,BOS vs. WAS,W,242,111,42,89,0.47200000000000003,10,30,0.33299999999999996,17,24,0.708,13,36,49,25,7,0,18,25,1.0,danieltheis,jaysontatum,kembawalker,tristanthompson,javontegreen,bradleybeal,moritzwagner,russellwestbrook,ruihachimura,garrisonmathews
1,22020,1610612738,BOS,Boston Celtics,22000505,2021-02-26,BOS vs. IND,W,238,118,42,82,0.512,9,22,0.409,25,29,0.862,7,38,45,24,3,7,11,20,6.0,danieltheis,jaysontatum,kembawalker,jaylenbrown,tristanthompson,justinholiday,domantassabonis,dougmcdermott,malcolmbrogdon,mylesturner
2,22020,1610612738,BOS,Boston Celtics,22000490,2021-02-24,BOS @ ATL,L,240,112,42,95,0.442,8,31,0.258,20,23,0.87,12,24,36,20,10,6,6,16,-15.0,clintcapela,traeyoung,tonysnell,kevinhuerter,johncollins,danieltheis,jaysontatum,jaylenbrown,tristanthompson,jeffteague
3,22020,1610612738,BOS,Boston Celtics,22000485,2021-02-23,BOS @ DAL,L,241,107,41,86,0.47700000000000004,12,39,0.308,13,18,0.722,12,34,46,19,6,6,13,21,-3.0,jamesjohnson,dwightpowell,joshrichardson,lukadoncic,dorianfinneysmith,danieltheis,jaysontatum,kembawalker,jaylenbrown,tristanthompson
4,22020,1610612738,BOS,Boston Celtics,22000465,2021-02-21,BOS @ NOP,L,266,115,39,98,0.39799999999999996,10,37,0.27,27,34,0.794,11,38,49,22,9,11,10,30,-5.0,ericbledsoe,lonzoball,zionwilliamson,willyhernangomez,brandoningram,danieltheis,jaysontatum,kembawalker,jaylenbrown,tristanthompson
5,22020,1610612738,BOS,Boston Celtics,22000451,2021-02-19,BOS vs. ATL,W,239,121,50,90,0.556,14,35,0.4,7,10,0.7,9,35,44,26,8,12,18,21,12.0,danieltheis,jaysontatum,kembawalker,jaylenbrown,tristanthompson,johncollins,clintcapela,,,
6,22020,1610612738,BOS,Boston Celtics,22000438,2021-02-17,BOS vs. ATL,L,240,114,40,86,0.465,10,31,0.32299999999999995,24,27,0.889,11,26,37,22,9,3,16,27,-8.0,jaysontatum,semiojeleye,jaylenbrown,tristanthompson,javontegreen,camreddish,clintcapela,traeyoung,kevinhuerter,johncollins
7,22020,1610612738,BOS,Boston Celtics,22000427,2021-02-16,BOS vs. DEN,W,241,112,39,81,0.48100000000000004,15,42,0.35700000000000004,19,21,0.905,10,33,43,26,7,1,20,22,13.0,jaysontatum,semiojeleye,kembawalker,jaylenbrown,tristanthompson,michaelporterjr,jamychalgreen,jamalmurray,nikolajokic,facundocampazzo
8,22020,1610612738,BOS,Boston Celtics,22000560,2021-02-14,BOS @ WAS,L,239,91,32,90,0.35600000000000004,9,35,0.257,18,30,0.6,14,36,50,14,5,2,17,27,-13.0,bradleybeal,moritzwagner,russellwestbrook,ruihachimura,garrisonmathews,danieltheis,jaysontatum,semiojeleye,kembawalker,jaylenbrown
9,22020,1610612738,BOS,Boston Celtics,22000412,2021-02-12,BOS vs. DET,L,240,102,36,82,0.439,8,27,0.29600000000000004,22,30,0.733,7,37,44,15,9,2,10,25,-6.0,danieltheis,jaysontatum,semiojeleye,jaylenbrown,paytonpritchard,jeramigrant,delonwright,blakegriffin,isaiahstewart,wayneellington
