Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,homeStarter1,homeStarter2,homeStarter3,homeStarter4,homeStarter5,awayStarter1,awayStarter2,awayStarter3,awayStarter4,awayStarter5
0,22020,1610612739,CLE,Cleveland Cavaliers,22000532,2021-03-01,CLE @ HOU,W,240,101,36,73,0.493,10,30,0.33299999999999996,19,24,0.792,6,42,48,23,7,6,19,18,11.0,johnwall,victoroladipo,pjtucker,danuelhouse,justinpatton,deanwade,collinsexton,dariusgarland,jarrettallen,isaacokoro
1,22020,1610612739,CLE,Cleveland Cavaliers,22000513,2021-02-27,CLE @ PHI,W,264,112,41,97,0.423,8,24,0.33299999999999996,22,29,0.759,13,40,53,24,11,4,16,26,3.0,joelembiid,bensimmons,dannygreen,sethcurry,furkankorkmaz,deanwade,collinsexton,dariusgarland,jarrettallen,isaacokoro
2,22020,1610612739,CLE,Cleveland Cavaliers,22000491,2021-02-24,CLE vs. HOU,W,240,112,43,85,0.506,16,36,0.444,10,15,0.667,11,44,55,24,4,10,16,20,16.0,deanwade,collinsexton,dariusgarland,jarrettallen,isaacokoro,jaeseantate,johnwall,victoroladipo,pjtucker,danuelhouse
3,22020,1610612739,CLE,Cleveland Cavaliers,22000480,2021-02-23,CLE vs. ATL,W,241,112,41,78,0.526,15,28,0.536,15,19,0.789,7,29,36,28,7,10,15,19,1.0,deanwade,collinsexton,dariusgarland,jarrettallen,isaacokoro,clintcapela,traeyoung,tonysnell,kevinhuerter,johncollins
4,22020,1610612739,CLE,Cleveland Cavaliers,22000466,2021-02-21,CLE vs. OKC,L,239,101,39,84,0.46399999999999997,8,35,0.22899999999999998,15,20,0.75,14,28,42,22,9,4,15,17,-16.0,collinsexton,cediosman,jarrettallen,dariusgarland,isaacokoro,luguentzdort,shaigilgeousalexander,theomaledon,alhorford,dariusbazley
5,22020,1610612739,CLE,Cleveland Cavaliers,22000563,2021-02-19,CLE vs. DEN,L,241,103,39,83,0.47,12,31,0.387,13,21,0.619,13,21,34,30,8,4,18,15,-17.0,collinsexton,cediosman,jarrettallen,dariusgarland,isaacokoro,michaelporterjr,jamychalgreen,jamalmurray,willbarton,nikolajokic
6,22020,1610612739,CLE,Cleveland Cavaliers,22000424,2021-02-15,CLE @ GSW,L,240,98,37,95,0.389,8,30,0.267,16,20,0.8,15,34,49,19,10,3,17,24,-31.0,juantoscanoanderson,kellyoubrejr,draymondgreen,andrewwiggins,stephencurry,collinsexton,cediosman,jarrettallen,dariusgarland,isaacokoro
7,22020,1610612739,CLE,Cleveland Cavaliers,22000419,2021-02-14,CLE @ LAC,L,240,111,43,93,0.462,7,25,0.28,18,25,0.72,11,29,40,25,4,4,15,27,-17.0,patrickbeverley,nicolasbatum,louwilliams,sergeibaka,reggiejackson,collinsexton,taureanprince,dariusgarland,jarrettallen,isaacokoro
8,22020,1610612739,CLE,Cleveland Cavaliers,22000404,2021-02-12,CLE @ POR,L,240,110,38,87,0.43700000000000006,8,23,0.348,26,37,0.703,10,31,41,20,6,3,11,21,-19.0,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington,andredrummond,collinsexton,taureanprince,dariusgarland,isaacokoro
9,22020,1610612739,CLE,Cleveland Cavaliers,22000388,2021-02-10,CLE @ DEN,L,240,95,36,94,0.38299999999999995,8,37,0.21600000000000003,15,20,0.75,18,31,49,25,7,7,17,18,-38.0,paulmillsap,michaelporterjr,jamalmurray,willbarton,nikolajokic,andredrummond,collinsexton,dariusgarland,jarrettallen,isaacokoro
10,22020,1610612739,CLE,Cleveland Cavaliers,22000372,2021-02-08,CLE @ PHX,L,239,113,44,86,0.512,8,24,0.33299999999999996,17,25,0.68,9,30,39,23,5,5,10,20,-6.0,frankkaminsky,etwaunmoore,mikalbridges,deandreayton,devinbooker,andredrummond,collinsexton,dariusgarland,jarrettallen,isaacokoro
11,22020,1610612739,CLE,Cleveland Cavaliers,22000357,2021-02-06,CLE vs. MIL,L,239,99,39,86,0.45299999999999996,6,28,0.214,15,21,0.7140000000000001,8,32,40,21,4,1,13,19,-25.0,larrynancejr,andredrummond,collinsexton,dariusgarland,isaacokoro,jrueholiday,dontedivincenzo,khrismiddleton,giannisantetokounmpo,brooklopez
12,22020,1610612739,CLE,Cleveland Cavaliers,22000346,2021-02-05,CLE vs. MIL,L,242,105,41,92,0.446,11,32,0.344,12,16,0.75,6,30,36,23,7,9,11,19,-18.0,andredrummond,collinsexton,taureanprince,dariusgarland,isaacokoro,jrueholiday,dontedivincenzo,khrismiddleton,giannisantetokounmpo,brooklopez
