Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,homeStarter1,homeStarter2,homeStarter3,homeStarter4,homeStarter5,awayStarter1,awayStarter2,awayStarter3,awayStarter4,awayStarter5
0,22020,1610612765,DET,Detroit Pistons,22000521,2021-02-28,DET vs. NYK,L,240,90,28,73,0.384,9,32,0.281,25,31,0.8059999999999999,8,33,41,16,8,4,15,15,-19.0,jeramigrant,saddiqbey,dennissmithjr,masonplumlee,sviatoslavmykhailiuk,nerlensnoel,derrickrose,reggiebullock,rjbarrett,juliusrandle
1,22020,1610612765,DET,Detroit Pistons,22000504,2021-02-26,DET vs. SAC,L,240,107,37,82,0.451,12,33,0.364,21,32,0.6559999999999999,10,35,45,20,6,6,11,25,-3.0,jeramigrant,saddiqbey,dennissmithjr,wayneellington,masonplumlee,harrisonbarnes,marvinbagleyiii,buddyhield,deaaronfox,richaunholmes
2,22020,1610612765,DET,Detroit Pistons,22000494,2021-02-24,DET @ NOP,L,239,118,47,89,0.528,13,36,0.361,11,16,0.688,9,29,38,31,8,6,13,23,-10.0,ericbledsoe,stevenadams,lonzoball,zionwilliamson,brandoningram,sekoudoumbouya,saddiqbey,dennissmithjr,wayneellington,masonplumlee
3,22020,1610612765,DET,Detroit Pistons,22000481,2021-02-23,DET @ ORL,W,240,105,41,88,0.466,10,34,0.294,13,16,0.813,8,41,49,24,10,9,15,19,12.0,alfarouqaminu,jamesennis,evanfournier,nikolavucevic,michaelcarterwilliams,jeramigrant,saddiqbey,dennissmithjr,masonplumlee,sviatoslavmykhailiuk
4,22020,1610612765,DET,Detroit Pistons,22000467,2021-02-21,DET @ ORL,L,240,96,34,91,0.374,11,40,0.275,17,21,0.81,9,40,49,23,10,4,11,21,-9.0,alfarouqaminu,jamesennis,evanfournier,nikolavucevic,michaelcarterwilliams,jeramigrant,saddiqbey,dennissmithjr,wayneellington,masonplumlee
5,22020,1610612765,DET,Detroit Pistons,22000452,2021-02-19,DET @ MEM,L,239,95,36,86,0.419,14,45,0.311,9,13,0.6920000000000001,13,32,45,27,8,7,21,22,-14.0,jamorant,graysonallen,jonasvalanciunas,kyleanderson,brandonclarke,jeramigrant,delonwright,saddiqbey,wayneellington,masonplumlee
6,22020,1610612765,DET,Detroit Pistons,22000564,2021-02-17,DET @ CHI,L,241,102,37,82,0.451,8,28,0.28600000000000003,20,24,0.833,6,34,40,15,9,2,13,21,-3.0,patrickwilliams,cobywhite,zachlavine,wendellcarterjr,garretttemple,jeramigrant,delonwright,saddiqbey,wayneellington,masonplumlee
7,22020,1610612765,DET,Detroit Pistons,22000561,2021-02-14,DET vs. NOP,W,239,123,45,84,0.536,17,35,0.486,16,20,0.8,9,28,37,34,3,8,11,23,11.0,jeramigrant,delonwright,saddiqbey,wayneellington,masonplumlee,ericbledsoe,stevenadams,lonzoball,zionwilliamson,brandoningram
8,22020,1610612765,DET,Detroit Pistons,22000412,2021-02-12,DET @ BOS,W,239,108,34,79,0.43,15,38,0.395,25,30,0.833,6,38,44,25,3,6,12,20,6.0,danieltheis,jaysontatum,semiojeleye,jaylenbrown,paytonpritchard,jeramigrant,delonwright,blakegriffin,isaiahstewart,wayneellington
9,22020,1610612765,DET,Detroit Pistons,22000391,2021-02-11,DET vs. IND,L,241,95,38,85,0.447,5,28,0.179,14,19,0.737,15,28,43,21,5,5,11,13,-16.0,jeramigrant,delonwright,blakegriffin,isaiahstewart,wayneellington,justinholiday,domantassabonis,dougmcdermott,malcolmbrogdon,mylesturner
10,22020,1610612765,DET,Detroit Pistons,22000375,2021-02-09,DET vs. BKN,W,241,122,47,84,0.56,13,29,0.44799999999999995,15,21,0.7140000000000001,7,30,37,28,10,6,13,16,11.0,jeramigrant,delonwright,blakegriffin,wayneellington,masonplumlee,jamesharden,deandrejordan,jeffgreen,kyrieirving,joeharris
11,22020,1610612765,DET,Detroit Pistons,22000361,2021-02-06,DET @ LAL,L,291,129,45,94,0.479,16,42,0.381,23,28,0.821,9,26,35,31,13,4,20,31,-6.0,dennisschroder,lebronjames,anthonydavis,kentaviouscaldwellpope,marcgasol,sekoudoumbouya,jeramigrant,delonwright,saddiqbey,masonplumlee
12,22020,1610612765,DET,Detroit Pistons,22000349,2021-02-05,DET @ PHX,L,241,92,34,91,0.374,7,36,0.19399999999999998,17,28,0.607,17,28,45,20,8,6,13,16,-17.0,frankkaminsky,mikalbridges,chrispaul,deandreayton,devinbooker,jeramigrant,delonwright,saddiqbey,blakegriffin,masonplumlee
13,22020,1610612765,DET,Detroit Pistons,22000325,2021-02-02,DET @ UTA,L,239,105,39,93,0.419,9,27,0.33299999999999996,18,20,0.9,12,34,46,18,7,5,15,21,-12.0,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley,jeramigrant,delonwright,blakegriffin,wayneellington,masonplumlee
14,22020,1610612765,DET,Detroit Pistons,22000305,2021-01-30,DET @ GSW,L,238,91,29,77,0.377,9,36,0.25,24,32,0.75,7,31,38,17,7,4,14,14,-27.0,kellyoubrejr,draymondgreen,kevonlooney,andrewwiggins,stephencurry,jeramigrant,delonwright,blakegriffin,wayneellington,masonplumlee
15,22020,1610612765,DET,Detroit Pistons,22000284,2021-01-28,DET vs. LAL,W,240,107,40,87,0.46,14,36,0.389,13,13,1.0,5,33,38,27,4,2,8,18,15.0,jeramigrant,delonwright,blakegriffin,wayneellington,masonplumlee,dennisschroder,lebronjames,kentaviouscaldwellpope,marcgasol,kylekuzma
16,22020,1610612765,DET,Detroit Pistons,22000272,2021-01-27,DET @ CLE,L,241,107,37,82,0.451,11,27,0.40700000000000003,22,29,0.759,13,27,40,29,7,5,22,21,-15.0,andredrummond,collinsexton,cediosman,dariusgarland,isaacokoro,jeramigrant,delonwright,saddiqbey,wayneellington,masonplumlee
17,22020,1610612765,DET,Detroit Pistons,22000257,2021-01-25,DET vs. PHI,W,241,119,35,70,0.5,17,38,0.447,32,38,0.8420000000000001,11,36,47,22,6,6,18,20,15.0,jeramigrant,delonwright,blakegriffin,wayneellington,masonplumlee,bensimmons,dannygreen,dwighthoward,tobiasharris,sethcurry
18,22020,1610612765,DET,Detroit Pistons,22000243,2021-01-23,DET vs. PHI,L,238,110,37,86,0.43,14,33,0.424,22,30,0.733,8,35,43,25,9,8,15,28,-4.0,jeramigrant,delonwright,saddiqbey,wayneellington,masonplumlee,joelembiid,bensimmons,dannygreen,tobiasharris,sethcurry
19,22020,1610612765,DET,Detroit Pistons,22000230,2021-01-22,DET vs. HOU,L,241,102,31,82,0.37799999999999995,15,32,0.469,25,37,0.6759999999999999,14,41,55,17,5,8,19,21,-1.0,jeramigrant,delonwright,blakegriffin,wayneellington,masonplumlee,jaeseantate,victoroladipo,demarcuscousins,pjtucker,ericgordon
20,22020,1610612765,DET,Detroit Pistons,22000219,2021-01-20,DET @ ATL,L,264,115,44,97,0.45399999999999996,10,31,0.32299999999999995,17,19,0.895,7,35,42,22,9,3,13,28,-8.0,clintcapela,traeyoung,solomonhill,kevinhuerter,johncollins,jeramigrant,delonwright,blakegriffin,wayneellington,masonplumlee
21,22020,1610612765,DET,Detroit Pistons,22000206,2021-01-18,DET @ MIA,L,241,107,38,82,0.46299999999999997,13,37,0.35100000000000003,18,24,0.75,10,22,32,24,8,3,16,23,-6.0,gorandragic,duncanrobinson,kzokpala,kellyolynyk,bamadebayo,jeramigrant,delonwright,blakegriffin,wayneellington,masonplumlee
22,22020,1610612765,DET,Detroit Pistons,22000192,2021-01-16,DET @ MIA,W,241,120,46,91,0.505,18,46,0.391,10,15,0.667,10,29,39,34,9,8,11,28,20.0,gabevincent,duncanrobinson,kzokpala,kellyolynyk,bamadebayo,jeramigrant,delonwright,blakegriffin,wayneellington,masonplumlee
23,22020,1610612765,DET,Detroit Pistons,22000165,2021-01-13,DET vs. MIL,L,240,101,36,92,0.391,14,35,0.4,15,22,0.682,13,34,47,25,8,3,16,19,-9.0,jeramigrant,delonwright,blakegriffin,wayneellington,masonplumlee,jrueholiday,dontedivincenzo,khrismiddleton,giannisantetokounmpo,brooklopez
24,22020,1610612765,DET,Detroit Pistons,22000141,2021-01-10,DET vs. UTA,L,239,86,29,87,0.33299999999999996,10,42,0.23800000000000002,18,21,0.857,11,28,39,21,10,7,7,23,-10.0,jeramigrant,delonwright,joshjackson,blakegriffin,masonplumlee,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley
25,22020,1610612765,DET,Detroit Pistons,22000123,2021-01-08,DET vs. PHX,W,265,110,37,90,0.41100000000000003,11,34,0.324,25,29,0.862,9,37,46,23,13,4,14,14,5.0,jeramigrant,delonwright,joshjackson,blakegriffin,masonplumlee,mikalbridges,chrispaul,deandreayton,devinbooker,jaecrowder
26,22020,1610612765,DET,Detroit Pistons,22000113,2021-01-06,DET @ MIL,L,240,115,38,97,0.392,13,41,0.317,26,30,0.867,15,32,47,20,6,3,9,20,-15.0,jrueholiday,dontedivincenzo,khrismiddleton,giannisantetokounmpo,brooklopez,jeramigrant,delonwright,blakegriffin,wayneellington,masonplumlee
27,22020,1610612765,DET,Detroit Pistons,22000099,2021-01-04,DET @ MIL,L,240,115,43,98,0.439,17,40,0.425,12,12,1.0,6,25,31,27,9,5,8,17,-10.0,jrueholiday,dontedivincenzo,khrismiddleton,giannisantetokounmpo,brooklopez,jeramigrant,saddiqbey,killianhayes,wayneellington,masonplumlee
