Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,homeStarter1,homeStarter2,homeStarter3,homeStarter4,homeStarter5,awayStarter1,awayStarter2,awayStarter3,awayStarter4,awayStarter5
0,22020,1610612748,MIA,Miami Heat,22000522,2021-02-28,MIA vs. ATL,W,239,109,39,86,0.45299999999999996,11,37,0.297,20,22,0.909,12,33,45,27,8,6,14,20,10.0,gorandragic,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo,clintcapela,traeyoung,tonysnell,kevinhuerter,johncollins
1,22020,1610612748,MIA,Miami Heat,22000507,2021-02-26,MIA vs. UTA,W,240,124,44,86,0.512,14,31,0.452,22,25,0.88,11,39,50,24,5,1,15,21,8.0,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley
2,22020,1610612748,MIA,Miami Heat,22000492,2021-02-24,MIA vs. TOR,W,239,116,37,80,0.46299999999999997,17,38,0.447,25,29,0.862,11,31,42,31,6,4,11,21,8.0,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo,pascalsiakam,kylelowry,normanpowell,oganunoby,fredvanvleet
3,22020,1610612748,MIA,Miami Heat,22000475,2021-02-22,MIA @ OKC,W,239,108,36,81,0.444,15,40,0.375,21,25,0.84,10,35,45,30,7,6,13,20,14.0,luguentzdort,shaigilgeousalexander,theomaledon,dariusbazley,isaiahroby,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo
4,22020,1610612748,MIA,Miami Heat,22000463,2021-02-20,MIA @ LAL,W,240,96,36,85,0.424,8,28,0.28600000000000003,16,23,0.696,10,39,49,24,8,3,14,20,2.0,wesleymatthews,lebronjames,kentaviouscaldwellpope,marcgasol,kylekuzma,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo
5,22020,1610612748,MIA,Miami Heat,22000447,2021-02-18,MIA @ SAC,W,240,118,49,95,0.516,12,34,0.353,8,10,0.8,8,37,45,36,8,2,14,15,8.0,nemanjabjelica,,,,,,,,,
6,22020,1610612748,MIA,Miami Heat,22000443,2021-02-17,MIA @ GSW,L,266,112,44,97,0.45399999999999996,13,36,0.361,11,12,0.917,7,42,49,28,8,5,15,22,-8.0,juantoscanoanderson,kellyoubrejr,andrewwiggins,mychalmulder,stephencurry,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo
7,22020,1610612748,MIA,Miami Heat,22000425,2021-02-15,MIA @ LAC,L,240,118,46,91,0.505,8,36,0.222,18,22,0.818,9,30,39,27,7,6,8,21,-7.0,marcusmorris,louwilliams,sergeibaka,terancemann,reggiejackson,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo
8,22020,1610612748,MIA,Miami Heat,22000410,2021-02-13,MIA @ UTA,L,241,94,35,86,0.40700000000000003,12,36,0.33299999999999996,12,17,0.706,8,35,43,24,11,3,17,21,-18.0,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,joeingles,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo
9,22020,1610612748,MIA,Miami Heat,22000392,2021-02-11,MIA @ HOU,W,240,101,34,79,0.43,15,42,0.35700000000000004,18,20,0.9,8,41,49,24,6,3,20,21,7.0,jaeseantate,johnwall,victoroladipo,demarcuscousins,pjtucker,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo
