Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,homeStarter1,homeStarter2,homeStarter3,homeStarter4,homeStarter5,awayStarter1,awayStarter2,awayStarter3,awayStarter4,awayStarter5
0,22020,1610612750,MIN,Minnesota Timberwolves,22000526,2021-02-28,MIN vs. PHX,L,238,99,35,93,0.376,8,35,0.22899999999999998,21,24,0.875,10,34,44,21,12,4,15,22,-19.0,anthonyedwards,jarredvanderbilt,karlanthonytowns,rickyrubio,joshokogie,frankkaminsky,mikalbridges,chrispaul,deandreayton,devinbooker
1,22020,1610612750,MIN,Minnesota Timberwolves,22000517,2021-02-27,MIN @ WAS,L,240,112,41,95,0.43200000000000005,11,35,0.314,19,29,0.655,12,38,50,23,9,10,18,29,-16.0,bradleybeal,moritzwagner,russellwestbrook,ruihachimura,garrisonmathews,anthonyedwards,jarredvanderbilt,karlanthonytowns,rickyrubio,joshokogie
2,22020,1610612750,MIN,Minnesota Timberwolves,22000493,2021-02-24,MIN @ CHI,L,265,126,47,104,0.452,12,38,0.316,20,21,0.9520000000000001,13,28,41,28,11,4,17,24,-7.0,patrickwilliams,cobywhite,zachlavine,wendellcarterjr,garretttemple,malikbeasley,anthonyedwards,jarredvanderbilt,karlanthonytowns,rickyrubio
3,22020,1610612750,MIN,Minnesota Timberwolves,22000486,2021-02-23,MIN @ MIL,L,240,112,42,98,0.429,19,54,0.35200000000000004,9,9,1.0,7,36,43,35,4,5,14,16,-27.0,djaugustin,dontedivincenzo,khrismiddleton,giannisantetokounmpo,brooklopez,malikbeasley,anthonyedwards,jarredvanderbilt,karlanthonytowns,rickyrubio
4,22020,1610612750,MIN,Minnesota Timberwolves,22000469,2021-02-21,MIN @ NYK,L,241,99,33,82,0.402,16,35,0.457,17,21,0.81,7,36,43,24,6,3,15,24,-4.0,elfridpayton,nerlensnoel,reggiebullock,juliusrandle,rjbarrett,malikbeasley,anthonyedwards,jarredvanderbilt,karlanthonytowns,rickyrubio
5,22020,1610612750,MIN,Minnesota Timberwolves,22000454,2021-02-19,MIN vs. TOR,L,240,81,32,83,0.386,9,38,0.237,8,11,0.727,6,37,43,24,6,9,13,23,-5.0,malikbeasley,anthonyedwards,jarredvanderbilt,karlanthonytowns,rickyrubio,deandrebembry,chrisboucher,pascalsiakam,normanpowell,fredvanvleet
6,22020,1610612750,MIN,Minnesota Timberwolves,22000440,2021-02-17,MIN vs. IND,L,265,128,45,107,0.42100000000000004,15,40,0.375,23,25,0.92,11,33,44,37,12,8,11,20,-6.0,anthonyedwards,jarredvanderbilt,karlanthonytowns,rickyrubio,jadenmcdaniels,justinholiday,domantassabonis,dougmcdermott,malcolmbrogdon,mylesturner
7,22020,1610612750,MIN,Minnesota Timberwolves,22000431,2021-02-16,MIN vs. LAL,L,240,104,39,93,0.419,16,34,0.47100000000000003,10,13,0.769,11,27,38,26,11,4,15,27,-8.0,malikbeasley,anthonyedwards,jarredvanderbilt,karlanthonytowns,rickyrubio,dennisschroder,lebronjames,kentaviouscaldwellpope,marcgasol,kylekuzma
8,22020,1610612750,MIN,Minnesota Timberwolves,22000413,2021-02-14,MIN @ TOR,W,240,116,43,82,0.524,16,39,0.41,14,19,0.737,5,35,40,28,6,8,18,26,4.0,aronbaynes,pascalsiakam,kylelowry,normanpowell,fredvanvleet,malikbeasley,anthonyedwards,jarredvanderbilt,karlanthonytowns,rickyrubio
9,22020,1610612750,MIN,Minnesota Timberwolves,22000395,2021-02-12,MIN @ CHA,L,240,114,45,99,0.455,16,41,0.39,8,14,0.5710000000000001,9,31,40,28,10,4,8,18,-6.0,gordonhayward,lameloball,terryrozier,devontegraham,codyzeller,malikbeasley,anthonyedwards,karlanthonytowns,rickyrubio,joshokogie
