Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,homeStarter1,homeStarter2,homeStarter3,homeStarter4,homeStarter5,awayStarter1,awayStarter2,awayStarter3,awayStarter4,awayStarter5
0,22020,1610612752,NYK,New York Knicks,22000521,2021-02-28,NYK @ DET,W,241,109,44,86,0.512,13,26,0.5,8,10,0.8,6,35,41,23,9,7,11,23,19.0,jeramigrant,saddiqbey,dennissmithjr,masonplumlee,sviatoslavmykhailiuk,nerlensnoel,derrickrose,reggiebullock,rjbarrett,juliusrandle
1,22020,1610612752,NYK,New York Knicks,22000515,2021-02-27,NYK vs. IND,W,239,110,40,81,0.494,12,24,0.5,18,22,0.818,4,34,38,26,12,2,18,22,3.0,nerlensnoel,derrickrose,reggiebullock,rjbarrett,juliusrandle,justinholiday,domantassabonis,dougmcdermott,mylesturner,tjmcconnell
2,22020,1610612752,NYK,New York Knicks,22000500,2021-02-25,NYK vs. SAC,W,241,140,51,87,0.586,19,36,0.528,19,21,0.905,9,34,43,24,8,2,16,23,19.0,nerlensnoel,derrickrose,reggiebullock,rjbarrett,juliusrandle,harrisonbarnes,marvinbagleyiii,buddyhield,deaaronfox,richaunholmes
3,22020,1610612752,NYK,New York Knicks,22000483,2021-02-23,NYK vs. GSW,L,240,106,38,97,0.392,11,29,0.379,19,22,0.8640000000000001,18,38,56,22,4,5,13,23,-8.0,elfridpayton,nerlensnoel,reggiebullock,juliusrandle,rjbarrett,kellyoubrejr,draymondgreen,kevonlooney,andrewwiggins,stephencurry
4,22020,1610612752,NYK,New York Knicks,22000469,2021-02-21,NYK vs. MIN,W,240,103,33,78,0.423,6,18,0.33299999999999996,31,38,0.816,11,37,48,17,4,4,13,25,4.0,elfridpayton,nerlensnoel,reggiebullock,juliusrandle,rjbarrett,malikbeasley,anthonyedwards,jarredvanderbilt,karlanthonytowns,rickyrubio
5,22020,1610612752,NYK,New York Knicks,22000436,2021-02-17,NYK @ ORL,L,240,89,33,87,0.379,7,27,0.259,16,19,0.8420000000000001,10,36,46,16,7,5,16,14,-18.0,dwaynebacon,evanfournier,garyclark,nikolavucevic,michaelcarterwilliams,elfridpayton,nerlensnoel,reggiebullock,juliusrandle,rjbarrett
6,22020,1610612752,NYK,New York Knicks,22000422,2021-02-15,NYK vs. ATL,W,240,123,42,83,0.506,17,34,0.5,22,27,0.815,10,32,42,22,5,6,8,22,11.0,elfridpayton,nerlensnoel,reggiebullock,juliusrandle,rjbarrett,camreddish,clintcapela,traeyoung,kevinhuerter,johncollins
7,22020,1610612752,NYK,New York Knicks,22000408,2021-02-13,NYK vs. HOU,W,241,121,45,86,0.523,12,28,0.429,19,23,0.826,4,40,44,21,4,4,7,21,22.0,elfridpayton,nerlensnoel,reggiebullock,juliusrandle,rjbarrett,jaeseantate,johnwall,demarcuscousins,pjtucker,ericgordon
8,22020,1610612752,NYK,New York Knicks,22000396,2021-02-12,NYK @ WAS,W,242,109,44,98,0.449,6,24,0.25,15,22,0.682,15,50,65,22,11,4,11,22,18.0,russellwestbrook,ruihachimura,alexlen,garrisonmathews,davisbertans,elfridpayton,reggiebullock,juliusrandle,rjbarrett,mitchellrobinson
9,22020,1610612752,NYK,New York Knicks,22000376,2021-02-09,NYK @ MIA,L,240,96,37,87,0.425,10,28,0.35700000000000004,12,16,0.75,11,35,46,22,8,5,14,25,-2.0,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo,elfridpayton,reggiebullock,juliusrandle,rjbarrett,mitchellrobinson
10,22020,1610612752,NYK,New York Knicks,22000364,2021-02-07,NYK vs. MIA,L,240,103,38,85,0.447,16,42,0.381,11,15,0.733,10,34,44,23,8,2,12,20,-6.0,elfridpayton,reggiebullock,juliusrandle,rjbarrett,mitchellrobinson,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo
11,22020,1610612752,NYK,New York Knicks,22000351,2021-02-06,NYK vs. POR,W,240,110,44,88,0.5,13,30,0.433,9,13,0.6920000000000001,8,43,51,20,5,5,14,19,11.0,elfridpayton,reggiebullock,juliusrandle,rjbarrett,mitchellrobinson,damianlillard,garytrentjr,eneskanter,robertcovington,rodneyhood
12,22020,1610612752,NYK,New York Knicks,22000332,2021-02-03,NYK @ CHI,W,240,107,43,89,0.483,11,22,0.5,10,15,0.667,11,36,47,19,5,4,17,18,4.0,patrickwilliams,danielgafford,cobywhite,zachlavine,laurimarkkanen,elfridpayton,reggiebullock,juliusrandle,rjbarrett,mitchellrobinson
13,22020,1610612752,NYK,New York Knicks,22000315,2021-02-01,NYK @ CHI,L,240,102,37,87,0.425,6,29,0.207,22,26,0.846,11,34,45,21,6,6,11,19,-8.0,patrickwilliams,danielgafford,cobywhite,zachlavine,laurimarkkanen,elfridpayton,reggiebullock,juliusrandle,rjbarrett,mitchellrobinson
