Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,homeStarter1,homeStarter2,homeStarter3,homeStarter4,homeStarter5,awayStarter1,awayStarter2,awayStarter3,awayStarter4,awayStarter5
0,22020,1610612753,ORL,Orlando Magic,22000529,2021-03-01,ORL vs. DAL,L,240,124,47,95,0.495,20,41,0.488,10,14,0.7140000000000001,6,35,41,25,5,1,8,17,-6.0,alfarouqaminu,dwaynebacon,evanfournier,nikolavucevic,michaelcarterwilliams,joshrichardson,kristapsporzingis,lukadoncic,maxikleber,dorianfinneysmith
1,22020,1610612753,ORL,Orlando Magic,22000516,2021-02-27,ORL vs. UTA,L,241,109,44,96,0.45799999999999996,14,34,0.41200000000000003,7,8,0.875,7,30,37,27,6,3,3,18,-15.0,alfarouqaminu,dwaynebacon,evanfournier,nikolavucevic,michaelcarterwilliams,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,joeingles
2,22020,1610612753,ORL,Orlando Magic,22000499,2021-02-25,ORL @ BKN,L,238,92,35,87,0.402,9,36,0.25,13,15,0.867,4,31,35,19,8,1,18,10,-37.0,brucebrown,jamesharden,deandrejordan,kyrieirving,joeharris,alfarouqaminu,jamesennis,evanfournier,nikolavucevic,michaelcarterwilliams
3,22020,1610612753,ORL,Orlando Magic,22000481,2021-02-23,ORL vs. DET,L,241,93,33,88,0.375,14,38,0.368,13,22,0.591,10,38,48,25,9,6,12,16,-12.0,alfarouqaminu,jamesennis,evanfournier,nikolavucevic,michaelcarterwilliams,jeramigrant,saddiqbey,dennissmithjr,masonplumlee,sviatoslavmykhailiuk
4,22020,1610612753,ORL,Orlando Magic,22000467,2021-02-21,ORL vs. DET,W,241,105,35,81,0.43200000000000005,9,30,0.3,26,29,0.897,5,46,51,24,7,8,11,18,9.0,alfarouqaminu,jamesennis,evanfournier,nikolavucevic,michaelcarterwilliams,jeramigrant,saddiqbey,dennissmithjr,wayneellington,masonplumlee
5,22020,1610612753,ORL,Orlando Magic,22000449,2021-02-19,ORL vs. GSW,W,240,124,46,94,0.489,18,43,0.419,14,17,0.8240000000000001,8,43,51,30,7,8,13,19,4.0,khembirch,jamesennis,evanfournier,nikolavucevic,michaelcarterwilliams,juantoscanoanderson,kellyoubrejr,draymondgreen,andrewwiggins,stephencurry
6,22020,1610612753,ORL,Orlando Magic,22000436,2021-02-17,ORL vs. NYK,W,241,107,42,92,0.457,16,34,0.47100000000000003,7,10,0.7,10,40,50,27,10,7,12,15,18.0,dwaynebacon,evanfournier,garyclark,nikolavucevic,michaelcarterwilliams,elfridpayton,nerlensnoel,reggiebullock,juliusrandle,rjbarrett
7,22020,1610612753,ORL,Orlando Magic,22000417,2021-02-14,ORL @ PHX,L,240,90,33,89,0.371,6,35,0.171,18,22,0.818,9,39,48,13,4,6,10,12,-19.0,frankkaminsky,mikalbridges,chrispaul,deandreayton,devinbooker,terrenceross,dwaynebacon,garyclark,nikolavucevic,michaelcarterwilliams
8,22020,1610612753,ORL,Orlando Magic,22000405,2021-02-12,ORL @ SAC,W,240,123,46,91,0.505,15,34,0.441,16,20,0.8,10,32,42,25,8,2,10,15,11.0,harrisonbarnes,buddyhield,tyresehaliburton,glennrobinsoniii,richaunholmes,dwaynebacon,jamesennis,garyclark,nikolavucevic,michaelcarterwilliams
9,22020,1610612753,ORL,Orlando Magic,22000393,2021-02-11,ORL @ GSW,L,241,105,38,97,0.392,15,33,0.455,14,18,0.778,13,36,49,19,7,6,15,17,-6.0,juantoscanoanderson,kellyoubrejr,draymondgreen,andrewwiggins,stephencurry,dwaynebacon,jamesennis,garyclark,nikolavucevic,Frank Mason
10,22020,1610612753,ORL,Orlando Magic,22000380,2021-02-09,ORL @ POR,L,240,97,37,88,0.42,11,35,0.314,12,22,0.545,10,43,53,22,7,3,10,11,-9.0,damianlillard,derrickjonesjr,garytrentjr,eneskanter,robertcovington,dwaynebacon,jamesennis,coleanthony,garyclark,nikolavucevic
11,22020,1610612753,ORL,Orlando Magic,22000353,2021-02-06,ORL vs. CHI,L,239,92,37,95,0.389,6,27,0.222,12,12,1.0,15,32,47,17,5,10,11,10,-26.0,dwaynebacon,jamesennis,coleanthony,garyclark,nikolavucevic,denzelvalentine,patrickwilliams,danielgafford,cobywhite,zachlavine
12,22020,1610612753,ORL,Orlando Magic,22000344,2021-02-05,ORL vs. CHI,W,240,123,42,81,0.519,11,27,0.40700000000000003,28,37,0.757,10,39,49,27,5,2,15,22,4.0,jamesennis,coleanthony,evanfournier,garyclark,nikolavucevic,patrickwilliams,danielgafford,cobywhite,zachlavine,laurimarkkanen
13,22020,1610612753,ORL,Orlando Magic,22000323,2021-02-02,ORL vs. TOR,L,239,108,41,89,0.461,14,38,0.368,12,14,0.857,9,37,46,24,4,4,16,22,-15.0,jamesennis,coleanthony,evanfournier,garyclark,nikolavucevic,aronbaynes,pascalsiakam,kylelowry,normanpowell,fredvanvleet
14,22020,1610612753,ORL,Orlando Magic,22000309,2021-01-31,ORL @ TOR,L,239,102,33,82,0.402,13,36,0.361,23,28,0.821,6,36,42,22,8,5,10,18,-13.0,aronbaynes,terencedavis,pascalsiakam,kylelowry,fredvanvleet,jamesennis,aarongordon,coleanthony,evanfournier,nikolavucevic
15,22020,1610612753,ORL,Orlando Magic,22000289,2021-01-29,ORL vs. LAC,L,240,90,32,89,0.36,10,33,0.303,16,18,0.889,12,37,49,20,6,2,17,12,-26.0,jamesennis,aarongordon,coleanthony,evanfournier,nikolavucevic,kawhileonard,nicolasbatum,sergeibaka,reggiejackson,paulgeorge
16,22020,1610612753,ORL,Orlando Magic,22000273,2021-01-27,ORL vs. SAC,L,239,107,40,96,0.41700000000000004,10,26,0.385,17,18,0.9440000000000001,17,30,47,25,8,8,14,23,-14.0,jamesennis,aarongordon,coleanthony,evanfournier,nikolavucevic,harrisonbarnes,marvinbagleyiii,buddyhield,deaaronfox,richaunholmes
