Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,homeStarter1,homeStarter2,homeStarter3,homeStarter4,homeStarter5,awayStarter1,awayStarter2,awayStarter3,awayStarter4,awayStarter5
0,22020,1610612759,SAS,San Antonio Spurs,22000534,2021-03-01,SAS vs. BKN,L,264,113,44,97,0.45399999999999996,15,35,0.429,10,15,0.667,9,39,48,30,2,3,9,16,-11.0,treylyles,dejountemurray,jakobpoeltl,demarderozan,lonniewalker,brucebrown,jamesharden,deandrejordan,kyrieirving,joeharris
1,22020,1610612759,SAS,San Antonio Spurs,22000514,2021-02-27,SAS vs. NOP,W,239,117,41,86,0.47700000000000004,12,32,0.375,23,28,0.821,8,30,38,24,7,5,8,26,3.0,treylyles,dejountemurray,jakobpoeltl,demarderozan,lonniewalker,ericbledsoe,stevenadams,lonzoball,zionwilliamson,brandoningram
2,22020,1610612759,SAS,San Antonio Spurs,22000495,2021-02-24,SAS @ OKC,L,240,99,40,86,0.465,9,25,0.36,10,15,0.667,6,38,44,20,10,4,12,13,-3.0,luguentzdort,shaigilgeousalexander,theomaledon,alhorford,dariusbazley,lukasamanic,treylyles,dejountemurray,jakobpoeltl,lonniewalker
3,22020,1610612759,SAS,San Antonio Spurs,22000414,2021-02-14,SAS @ CHA,W,240,122,48,96,0.5,10,34,0.294,16,19,0.8420000000000001,10,33,43,31,13,4,9,13,12.0,lameloball,terryrozier,devontegraham,codyzeller,milesbridges,dejountemurray,derrickwhite,jakobpoeltl,demarderozan,keldonjohnson
4,22020,1610612759,SAS,San Antonio Spurs,22000397,2021-02-12,SAS @ ATL,W,241,125,45,85,0.529,12,31,0.387,23,28,0.821,8,38,46,27,6,6,13,25,11.0,camreddish,clintcapela,traeyoung,kevinhuerter,johncollins,dejountemurray,derrickwhite,jakobpoeltl,demarderozan,keldonjohnson
5,22020,1610612759,SAS,San Antonio Spurs,22000378,2021-02-09,SAS vs. GSW,L,240,91,32,86,0.37200000000000005,8,24,0.33299999999999996,19,21,0.905,8,37,45,20,2,5,14,16,-23.0,dejountemurray,jakobpoeltl,devinvassell,demarderozan,keldonjohnson,juantoscanoanderson,kellyoubrejr,draymondgreen,andrewwiggins,stephencurry
6,22020,1610612759,SAS,San Antonio Spurs,22000371,2021-02-08,SAS vs. GSW,W,241,105,39,96,0.406,11,31,0.355,16,19,0.8420000000000001,10,36,46,24,12,6,10,16,5.0,dejountemurray,derrickwhite,jakobpoeltl,demarderozan,keldonjohnson,juantoscanoanderson,kellyoubrejr,draymondgreen,andrewwiggins,stephencurry
7,22020,1610612759,SAS,San Antonio Spurs,22000358,2021-02-06,SAS @ HOU,W,239,111,37,87,0.425,8,25,0.32,29,36,0.8059999999999999,7,37,44,22,6,7,10,18,5.0,jaeseantate,johnwall,victoroladipo,demarcuscousins,pjtucker,dejountemurray,derrickwhite,jakobpoeltl,demarderozan,keldonjohnson
8,22020,1610612759,SAS,San Antonio Spurs,22000334,2021-02-03,SAS vs. MIN,W,239,111,43,96,0.44799999999999995,7,26,0.26899999999999996,18,24,0.75,7,38,45,28,5,6,7,13,3.0,dejountemurray,jakobpoeltl,demarderozan,keldonjohnson,lonniewalker,dangelorussell,malikbeasley,anthonyedwards,joshokogie,nazreid
9,22020,1610612759,SAS,San Antonio Spurs,22000320,2021-02-01,SAS vs. MEM,L,239,102,37,89,0.41600000000000004,13,37,0.35100000000000003,15,22,0.682,10,32,42,28,8,7,14,13,-31.0,dejountemurray,demarderozan,lamarcusaldridge,lonniewalker,keldonjohnson,xaviertillmansr,jamorant,dillonbrooks,kyleanderson,brandonclarke
