Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,homeStarter1,homeStarter2,homeStarter3,homeStarter4,homeStarter5,awayStarter1,awayStarter2,awayStarter3,awayStarter4,awayStarter5
0,22020,1610612761,TOR,Toronto Raptors,22000506,2021-02-26,TOR vs. HOU,W,240,122,40,89,0.449,16,41,0.39,26,27,0.963,11,37,48,29,6,8,12,20,11.0,chrisboucher,kylelowry,normanpowell,oganunoby,fredvanvleet,jaeseantate,johnwall,victoroladipo,pjtucker,danuelhouse
1,22020,1610612761,TOR,Toronto Raptors,22000492,2021-02-24,TOR @ MIA,L,239,108,37,74,0.5,20,44,0.455,14,17,0.8240000000000001,3,29,32,30,5,3,14,25,-8.0,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo,pascalsiakam,kylelowry,normanpowell,oganunoby,fredvanvleet
2,22020,1610612761,TOR,Toronto Raptors,22000484,2021-02-23,TOR vs. PHI,L,239,102,40,93,0.43,11,37,0.297,11,13,0.846,8,30,38,29,12,11,10,20,-7.0,deandrebembry,pascalsiakam,normanpowell,oganunoby,fredvanvleet,joelembiid,bensimmons,dannygreen,tobiasharris,furkankorkmaz
3,22020,1610612761,TOR,Toronto Raptors,22000468,2021-02-21,TOR vs. PHI,W,241,110,40,81,0.494,14,34,0.41200000000000003,16,18,0.889,5,34,39,25,5,5,14,24,7.0,deandrebembry,pascalsiakam,normanpowell,oganunoby,fredvanvleet,joelembiid,bensimmons,dannygreen,tobiasharris,sethcurry
4,22020,1610612761,TOR,Toronto Raptors,22000454,2021-02-19,TOR @ MIN,W,241,86,28,85,0.32899999999999996,12,40,0.3,18,22,0.818,15,36,51,16,8,6,15,16,5.0,malikbeasley,anthonyedwards,jarredvanderbilt,karlanthonytowns,rickyrubio,deandrebembry,chrisboucher,pascalsiakam,normanpowell,fredvanvleet
5,22020,1610612761,TOR,Toronto Raptors,22000445,2021-02-18,TOR @ MIL,W,241,110,38,78,0.48700000000000004,12,35,0.34299999999999997,22,23,0.9570000000000001,2,35,37,26,6,6,9,21,14.0,dontedivincenzo,khrismiddleton,giannisantetokounmpo,brynforbes,brooklopez,deandrebembry,pascalsiakam,normanpowell,oganunoby,fredvanvleet
6,22020,1610612761,TOR,Toronto Raptors,22000430,2021-02-16,TOR @ MIL,W,240,124,46,91,0.505,17,43,0.395,15,21,0.7140000000000001,8,36,44,25,8,6,15,18,11.0,dontedivincenzo,khrismiddleton,giannisantetokounmpo,brynforbes,brooklopez,pascalsiakam,kylelowry,normanpowell,oganunoby,fredvanvleet
7,22020,1610612761,TOR,Toronto Raptors,22000413,2021-02-14,TOR vs. MIN,L,241,112,38,91,0.418,10,33,0.303,26,31,0.8390000000000001,10,28,38,24,6,3,11,22,-4.0,aronbaynes,pascalsiakam,kylelowry,normanpowell,fredvanvleet,malikbeasley,anthonyedwards,jarredvanderbilt,karlanthonytowns,rickyrubio
8,22020,1610612761,TOR,Toronto Raptors,22000398,2021-02-11,TOR @ BOS,L,241,106,41,83,0.494,9,28,0.321,15,19,0.789,3,29,32,26,7,8,13,26,-14.0,danieltheis,jaysontatum,semiojeleye,kembawalker,jaylenbrown,aronbaynes,pascalsiakam,kylelowry,normanpowell,fredvanvleet
9,22020,1610612761,TOR,Toronto Raptors,22000382,2021-02-10,TOR @ WAS,W,240,137,49,93,0.527,19,32,0.594,20,23,0.87,9,37,46,28,5,5,12,17,22.0,bradleybeal,russellwestbrook,ruihachimura,alexlen,davisbertans,aronbaynes,pascalsiakam,kylelowry,normanpowell,fredvanvleet
10,22020,1610612761,TOR,Toronto Raptors,22000369,2021-02-08,TOR @ MEM,W,241,128,42,77,0.545,20,37,0.541,24,26,0.9229999999999999,7,30,37,28,11,2,14,24,15.0,desmondbane,jamorant,dillonbrooks,jonasvalanciunas,kyleanderson,aronbaynes,pascalsiakam,kylelowry,normanpowell,fredvanvleet
