Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,homeStarter1,homeStarter2,homeStarter3,homeStarter4,homeStarter5,awayStarter1,awayStarter2,awayStarter3,awayStarter4,awayStarter5
0,22020,1610612762,UTA,Utah Jazz,22000533,2021-03-01,UTA @ NOP,L,239,124,46,101,0.455,17,43,0.395,15,18,0.833,11.0,28.0,39.0,26,11,7,8,22,-5.0,ericbledsoe,stevenadams,lonzoball,zionwilliamson,brandoningram,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley
1,22020,1610612762,UTA,Utah Jazz,22000516,2021-02-27,UTA @ ORL,W,238,124,45,85,0.529,17,45,0.37799999999999995,17,24,0.708,10.0,42.0,52.0,29,2,3,12,14,15.0,alfarouqaminu,dwaynebacon,evanfournier,nikolavucevic,michaelcarterwilliams,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,joeingles
2,22020,1610612762,UTA,Utah Jazz,22000507,2021-02-26,UTA @ MIA,L,240,116,40,94,0.426,15,46,0.326,21,23,0.9129999999999999,9.0,27.0,36.0,24,9,3,9,21,-8.0,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley
3,22020,1610612762,UTA,Utah Jazz,22000497,2021-02-24,UTA vs. LAL,W,240,114,41,87,0.47100000000000003,22,48,0.45799999999999996,10,15,0.667,14.0,39.0,53.0,28,7,1,12,16,25.0,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley,lebronjames,talenhortontucker,markieffmorris,kentaviouscaldwellpope,marcgasol
4,22020,1610612762,UTA,Utah Jazz,22000478,2021-02-22,UTA vs. CHA,W,239,132,45,85,0.529,28,55,0.509,14,17,0.8240000000000001,8.0,37.0,45.0,34,7,7,22,19,22.0,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley,pjwashington,gordonhayward,lameloball,terryrozier,codyzeller
5,22020,1610612762,UTA,Utah Jazz,22000457,2021-02-19,UTA @ LAC,L,239,112,41,86,0.47700000000000004,12,34,0.353,18,21,0.857,6.0,32.0,38.0,13,7,6,10,22,-4.0,patrickbeverley,kawhileonard,nicolasbatum,sergeibaka,paulgeorge,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley
6,22020,1610612762,UTA,Utah Jazz,22000444,2021-02-17,UTA @ LAC,W,239,114,42,98,0.429,13,40,0.325,17,20,0.85,17.0,36.0,53.0,19,12,3,13,15,18.0,patrickbeverley,marcusmorris,louwilliams,sergeibaka,reggiejackson,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,joeingles
7,22020,1610612762,UTA,Utah Jazz,22000423,2021-02-15,UTA vs. PHI,W,241,134,45,86,0.523,18,45,0.4,26,31,0.8390000000000001,7.0,29.0,36.0,18,9,4,11,18,11.0,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,joeingles,mikescott,bensimmons,dannygreen,tobiasharris,sethcurry
8,22020,1610612762,UTA,Utah Jazz,22000410,2021-02-13,UTA vs. MIA,W,240,112,39,85,0.45899999999999996,12,46,0.261,22,29,0.759,10.0,38.0,48.0,26,11,7,15,21,18.0,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,joeingles,jimmybutler,kendricknunn,duncanrobinson,kellyolynyk,bamadebayo
9,22020,1610612762,UTA,Utah Jazz,22000402,2021-02-12,UTA vs. MIL,W,240,129,43,82,0.524,14,38,0.368,29,34,0.853,7.0,39.0,46.0,22,4,5,17,22,14.0,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,joeingles,dontedivincenzo,khrismiddleton,giannisantetokounmpo,brynforbes,brooklopez
10,22020,1610612762,UTA,Utah Jazz,22000379,2021-02-09,UTA vs. BOS,W,241,122,40,84,0.47600000000000003,18,48,0.375,24,27,0.889,10.0,31.0,41.0,28,4,7,10,22,14.0,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,joeingles,danieltheis,jaysontatum,kembawalker,jaylenbrown,tristanthompson
11,22020,1610612762,UTA,Utah Jazz,22000363,2021-02-07,UTA @ IND,W,240,103,38,92,0.413,13,42,0.31,14,21,0.667,16.0,44.0,60.0,22,2,4,14,17,8.0,jeremylamb,justinholiday,domantassabonis,malcolmbrogdon,mylesturner,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,joeingles
12,22020,1610612762,UTA,Utah Jazz,22000342,2021-02-05,UTA @ CHA,W,239,138,48,87,0.552,26,50,0.52,16,18,0.889,6.0,38.0,44.0,32,5,9,16,19,17.0,gordonhayward,lameloball,terryrozier,devontegraham,codyzeller,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley
13,22020,1610612762,UTA,Utah Jazz,22000338,2021-02-04,UTA @ ATL,W,239,112,44,91,0.484,13,27,0.48100000000000004,11,13,0.846,12.0,40.0,52.0,19,7,4,14,20,21.0,rajonrondo,camreddish,clintcapela,kevinhuerter,johncollins,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley
14,22020,1610612762,UTA,Utah Jazz,22000325,2021-02-02,UTA vs. DET,W,240,117,38,82,0.46299999999999997,16,42,0.381,25,29,0.862,8.0,36.0,44.0,23,9,6,13,17,12.2,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley,jeramigrant,delonwright,blakegriffin,wayneellington,masonplumlee
15,22020,1610612762,UTA,Utah Jazz,22000306,2021-01-31,UTA @ DEN,L,238,117,32,75,0.42700000000000005,20,47,0.426,33,39,0.846,10.0,28.0,38.0,28,3,4,14,21,-11.0,paulmillsap,garyharris,jamalmurray,willbarton,nikolajokic,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley
16,22020,1610612762,UTA,Utah Jazz,22000297,2021-01-29,UTA vs. DAL,W,242,120,38,87,0.43700000000000006,20,48,0.41700000000000004,24,26,0.9229999999999999,17.0,39.0,56.0,21,8,5,15,25,19.0,royceoneale,rudygobert,bojanbogdanovic,joeingles,mikeconley,timhardawayjr,joshrichardson,kristapsporzingis,lukadoncic,dorianfinneysmith
17,22020,1610612762,UTA,Utah Jazz,22000282,2021-01-27,UTA vs. DAL,W,242,116,42,91,0.462,16,41,0.39,16,21,0.762,11.0,39.0,50.0,20,7,7,9,18,12.0,royceoneale,rudygobert,bojanbogdanovic,joeingles,mikeconley,timhardawayjr,joshrichardson,kristapsporzingis,lukadoncic,dorianfinneysmith
18,22020,1610612762,UTA,Utah Jazz,22000270,2021-01-26,UTA vs. NYK,W,240,108,37,92,0.402,15,48,0.313,19,22,0.8640000000000001,17.0,36.0,53.0,24,6,5,6,14,14.0,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley,elfridpayton,alecburks,juliusrandle,rjbarrett,mitchellrobinson
19,22020,1610612762,UTA,Utah Jazz,22000242,2021-01-23,UTA vs. GSW,W,240,127,45,94,0.479,20,50,0.4,17,22,0.773,14.0,43.0,57.0,28,6,4,16,20,19.0,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley,kellyoubrejr,draymondgreen,andrewwiggins,jameswiseman,stephencurry
20,22020,1610612762,UTA,Utah Jazz,22000227,2021-01-21,UTA vs. NOP,W,240,129,44,88,0.5,17,39,0.436,24,25,0.96,8.0,31.0,39.0,27,8,8,15,27,11.0,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley,ericbledsoe,stevenadams,lonzoball,zionwilliamson,brandoningram
21,22020,1610612762,UTA,Utah Jazz,22000214,2021-01-19,UTA vs. NOP,W,240,118,43,85,0.506,21,47,0.447,11,17,0.647,11.0,43.0,54.0,28,4,7,14,17,16.0,royceoneale,donovanmitchell,rudygobert,bojanbogdanovic,mikeconley,ericbledsoe,stevenadams,lonzoball,zionwilliamson,brandoningram
